SampleID	DataType
SRR17871271	Y
SRR17871273	Y
SRR17871276	Y
SRR17871277	O
SRR17871278	O
SRR17871279	O
SRR17871280	O
SRR17871281	O
SRR17871282	O
SRR17871283	O
SRR17871284	O
SRR17871285	O
SRR17871286	O
SRR17871287	Y
SRR17871289	O
SRR17871290	O
SRR17871291	O
SRR17871292	O
SRR17871293	O
SRR17871294	O
SRR17871295	O
SRR17871296	O
SRR17871297	O
SRR17871298	Y
SRR17871299	Y
SRR17871300	Y
SRR17871302	Y
SRR17871303	Y
SRR17871304	Y
SRR17871306	Y
SRR17871308	Y
SRR17871309	Y
SRR17871310	Y
SRR17871272	Y
SRR17871275	Y
SRR17871305	Y
SRR17871274	Y
SRR17871301	Y
SRR17871288	O
SRR17871307	Y
